Acc	Acc	ch1	6	403994	404000
Acc	Acc	ch1	404045	112502	516547
Acc	Acc	ch1	516560	64363	580923
Acc	Acc	ch1	580944	13717	594661
Acc	Acc	ch1	594681	10036	604717
Acc	Acc	ch1	605120	2105	607225
Acc	Acc	ch1	607256	896	608152
Acc	Acc	ch1	608154	5389	613543
Acc	Acc	ch1	613566	2678	616244
Acc	Acc	ch1	616705	4081	620786
Acc	Acc	ch1	620798	1975	622773
Acc	Acc	ch1	622851	1397	624248
Acc	Acc	ch1	624265	3963	628228
Acc	Acc	ch1	628245	733	628978
Acc	Acc	ch1	629422	3193	632615
Acc	Acc	ch1	632626	710	633336
Acc	Acc	ch1	633347	504	633851
Acc	Acc	ch1	634252	85612	719864
Acc	Acc	ch1	720231	6482	726713
Acc	Acc	ch1	727050	38430	765480
Acc	Acc	ch1	765481	197072	962553
Acc	Acc	ch1	962558	122021	1084579
Acc	Acc	ch1	1084597	212097	1296694
Acc	Acc	ch1	1296745	39396	1336141
Acc	Acc	ch1	1336649	84110	1420759
Acc	Acc	ch1	1422213	347839	1770052
Acc	Acc	ch1	1770197	174244	1944441
Acc	Acc	ch1	1944446	22178	1966624
Acc	Acc	ch1	1966630	2494	1969124
Acc	Acc	ch1	1969131	240784	2209915
Acc	Acc	ch1	2209925	83114	2293039
Acc	Acc	ch1	2293064	20492	2313556
Acc	Acc	ch1	2313573	14042	2327615
Acc	Acc	ch1	2327654	515	2328169
Acc	Acc	ch1	2328179	115247	2443426
Acc	Acc	ch1	2443455	287435	2730890
Acc	Acc	ch1	2731259	31773	2763032
Acc	Acc	ch1	2763037	109932	2872969
Acc	Acc	ch1	2872991	12782	2885773
Acc	Acc	ch1	2885784	15638	2901422
Acc	Acc	ch1	2901430	59589	2961019
Acc	Acc	ch1	2961069	53945	3015014
Acc	Acc	ch2	0	220045	220045
Acc	Acc	ch2	220046	19131	239177
Acc	Acc	ch2	239280	30260	269540
Acc	Acc	ch2	269562	66116	335678
Acc	Acc	ch2	335748	228235	563983
Acc	Acc	ch2	563984	66567	630551
Acc	Acc	ch2	630806	60808	691614
Acc	Acc	ch2	739447	93475	832922
Acc	Acc	ch2	832925	162092	995017
Acc	Acc	ch2	995025	75290	1070315
Acc	Don	ch1	1449550	969	1450519
Acc	Don	ch2	453115	738	453853
Acc	Don	ch2	454902	1000	455902
Acc	Don	ch2	456723	660	457383
Acc	Don	ch2	721848	43469	765317
Don	Don	ch1	1449550	969	1450519
Don	Don	ch2	453115	738	453853
Don	Don	ch2	454902	1000	455902
Don	Don	ch2	456723	660	457383
Don	Don	ch2	721848	43469	765317
